startX,startY,startZ,endX,endY,endZ,cyl_ID,parent_ID,axis_ID,branch_order,radius,length,volume,subtree_length
216726.760,5199920.488,191.318,216726.769,5199920.501,191.405,-6,0,1,1,0.241,0.089,0.01620,23.452
216726.769,5199920.501,191.405,216726.779,5199920.515,191.493,-5,-6,1,1,0.241,0.089,0.01624,23.541
216726.779,5199920.515,191.493,216726.788,5199920.528,191.580,-4,-5,1,1,0.241,0.089,0.01629,23.630
216726.788,5199920.528,191.580,216726.798,5199920.541,191.668,-3,-4,1,1,0.241,0.089,0.01619,23.719
216726.798,5199920.541,191.668,216726.807,5199920.554,191.755,-2,-3,1,1,0.240,0.089,0.01616,23.808
216726.807,5199920.554,191.755,216726.816,5199920.567,191.843,-1,-2,1,1,0.237,0.089,0.01566,23.897
216726.816,5199920.567,191.843,216726.823,5199920.566,191.950,1,-1,1,1,0.244,0.108,0.02020,23.363
216726.823,5199920.566,191.950,216726.829,5199920.565,192.054,2,1,1,1,0.258,0.104,0.02180,23.258
216726.829,5199920.565,192.054,216726.833,5199920.566,192.156,3,2,1,1,0.283,0.102,0.02569,23.156
216726.833,5199920.566,192.156,216726.837,5199920.567,192.256,4,3,1,1,0.303,0.100,0.02883,23.056
216726.837,5199920.567,192.256,216726.842,5199920.571,192.355,5,4,1,1,0.302,0.099,0.02831,22.958
216726.842,5199920.571,192.355,216726.847,5199920.576,192.453,6,5,1,1,0.292,0.098,0.02618,22.861
216726.847,5199920.576,192.453,216726.851,5199920.579,192.550,7,6,1,1,0.288,0.097,0.02541,22.764
216726.851,5199920.579,192.550,216726.854,5199920.580,192.647,8,7,1,1,0.282,0.097,0.02415,22.667
216726.854,5199920.580,192.647,216726.857,5199920.582,192.743,9,8,1,1,0.262,0.097,0.02082,22.571
216726.857,5199920.582,192.743,216726.863,5199920.592,192.839,10,9,1,1,0.239,0.097,0.01748,22.474
216726.863,5199920.592,192.839,216726.872,5199920.614,192.936,11,10,1,1,0.226,0.099,0.01583,22.377
216726.872,5199920.614,192.936,216726.884,5199920.647,193.032,12,11,1,1,0.218,0.102,0.01531,22.274
216726.884,5199920.647,193.032,216726.900,5199920.687,193.128,13,12,1,1,0.211,0.105,0.01466,22.167
216726.900,5199920.687,193.128,216726.917,5199920.728,193.224,14,13,1,1,0.203,0.106,0.01366,22.058
216726.829,5199920.565,192.054,216726.963,5199920.291,192.051,15,2,3650,2,0.004,0.306,0.00001,0.189
